Ruta,Tractocamión,Prob_vacio
WM BODEGA REMOTA CHALCO/WM CEDIS CHALCO,T672,0.459624279304904
BBEBIDAS PROGRESO/BBEBIDAS MOTUL,T624,0.4633481038946351
WM CEDIS VILLAHERMOSA/TALLER JIMENEZ VHSA,T528,0.4713448844426159
BBEBIDAS CANDELARIA/BBEBIDAS CAMPECHE,T710,0.4645860490802038
BB CANCUN PLANTA NORTE/BB TICUL,T782,0.4687338560131944
BB TICUL/BB CANCUN PLANTA NORTE,T782,0.46957203364595956
PENSION SALINAS CRUZ/WM CEDIS VILLAHERMOSA SECOS,T446,0.4709114407159965
CEDIS PERECEDEROS VHS/WM CEDIS VILLAHERMOSA SECOS,T322,0.5036826130542501
WM CEDIS CHALCO/WM BODEGA REMOTA CHALCO,T473,0.47441382702175344
MOV CEDIS WM VHSA A TALLER JIMENEZ/TALLER JIMENEZ VHSA,T615,0.5027029730952097
BODEGA AURRERA PUERTO ESCONDIDO/PENSION SALINAS CRUZ,T550,0.4971060110761306
PENSIÓN SALINA CRUZ/CEDIS SECOS VILLA HERMOSA,T603,0.5101565718928797
WM CEDIS CHALCO/WM CEDIS CHALCO,T676,0.4832961925434775
SUPER CENTER SALINA CRUZ/PENSION SALINAS CRUZ,T653,0.5058556174419556
"EMBOTELLADORA DEL FUERTE , LOS MOCHIS/CEDIS CHEP CULIACAN",T694,0.47888137930628694
MEGA EMPACK/BOWEN Y BOWEN LTD,T599,0.48039428125252137
BOWEN Y BOWEN LTD/MEGA EMPACK,T599,0.48070904684264204
"DIST ARCA CONTINENETAL, MAZATLAN/CEDIS CHEP SMO",T698,0.4850470310972648
PROPIMEX TENANGO DEL VALLE/CEDIS CHEP SMO,T697,0.48345403224519146
BODEGA AURRERA IXTEPEC/PENSION SALINAS CRUZ,T655,0.5095017322864662
DIST ARCACONTAL CULIACAN/CEDIS CHEP CULIACAN,T475,0.4868103734443776
WM CANCUN COMANCALCO/WM CEDIS MID TEYA,T467,0.4845650300832215
PROPIMEX COATEPEC/CEDIS CHEP SMO,T701,0.48663835144583706
WM CEDIS CHALCO/FRABEL SMO,T476,0.48597897491516606
WM CEDIS CHALCO/ WM CEDIS MEGAPARK,T511,0.48442972152108504
DIST ARCACONTAL ZAPOPAN/CHEP SMO,T698,0.4847648652486099
DIST ARCACONTAL CULIACAN/CEDIS CHEP SMO,T585,0.5049497876584901
DIST ARCACONTAL CD N LAREDO/CEDIS CHEP SMO,T693,0.5042952271804646
DIST ARCACONTAL CD N LAREDO/PROTSUR MONTERREY,T697,0.4850175883215935
PROPIMEX QRO/CEDIS CHEP SMO,T697,0.4850175883215935
DIST ARCACONTAL SAN LUIS POTOSÍ/CHEP SMO,T700,0.4860432072131824
DIST ARCACONTAL SAN LUIS POTOSÍ/CHEP SAN LUIS POTOSI,T702,0.4868103734443776
PROPIMEX ACAPULCO/CHEP SMO,T638,0.4959177593832528
INDUSTRIA ENVASADORA DE QUERETARO/WM CEDIS VILLAHERMOSA SECOS,T542,0.48730737930538015
CEDIS JDV CONVENTO/PROPIMEX LERMA TOLUCA,T701,0.48740551767703233
"EMBOTELLADORA DEL FUERTE , LOS MOCHIS/CEDIS CHEP SMO",T693,0.48740551767703233
CEDIS COCA - COLA TECOMAN/CEDIS SMO,T703,0.4949156316188475
"DIST ARCA CONTINENTAL, MAZATLAN/CEDIS CHEP CULIACAN",T693,0.4876166333409459
PROPIMEX CELAYA/CHEP SMO,T702,0.4876618639136797
DIST ARCACONTAL MONCLOVA/CEDIS CHEP SMO,T682,0.48872775441203303
PROPIMEX IRAPUATO/CEDIS CHEP SMO,T699,0.5017850656903218
DIST ARCACONTAL GUADALUPE/PROTSUR MONTERREY,T697,0.4878507894500272
WM CEDIS MONTERREY/IEQSA,T597,0.48797906583160855
DIST ARCONTAL PIEDRAS NEGRAS/CEDIS CHEP SMO,T412,0.4880776861537817
PATIO MAVERICK/WM CEDIS CHALCO,T450,0.5004180153431641
LOGISTICA DEL MAYAB/AMSA MERIDA,T749,0.4887215353498213
KELLOGS QUERETARO/CEDIS WM MID TEYA,T762,0.4892033589928366
WM CEDIS CHALCO/PEPSICO SMO,T410,0.49524849969330936
SMURFFIT KAPPA/EMBOTELLADORA NIAGARA DE MEXICO,T533,0.5084189965748017
FRIALSA FRIGORIFICO CANCUN/WM CEDIS PERECEDERO VHSA,T606,0.4918829632178886
PEPSICO SMO/WM CEDIS CHALCO,T466,0.4982754185996239
WM CEDIS LA LUZ/WM CEDIS MEGAPARK IDC,T663,0.490724587433318
MATTEL DE MEXICO/WM CEDIS VILLAHERMOSA SECOS,T598,0.4914045109911534
WM CEDIS CHALCO/WM BODEGA REMOTA AYOTLA,T677,0.4926880527101083
EMBOTELLADORA NIAGARA DE MEXICO/WM CEDIS MID TEYA,T564,0.5145522317788184
CEDIS JVD LA TORRE /CEDIS WM GUADALAJARA,T693,0.4934310186760829
KIMBERLY CLARK ECATEPEC/WM CEDIS CHALCO,T719,0.49919895301137907
"MEGA EMPACK/SAN LUIS POTOSI, SAN LUIS POTOSI",T609,0.4950820153590471
"LA MADRILEÑA, SAN JUAN DEL RIO/TENANGO DEL VALLE, MEXICO",T683,0.5100663659967687
BKHL COMPANIA PROCTER SMO/WM CEDIS CHALCO,T724,0.4968448307552963
COMERCIALIZADORA EL ORO/WM CEDIS CHALCO,T704,0.5089530687390407
WM CEDIS CHALCO/PATIO MAVERICK,T673,0.5094876560751501
WM CEDIS MID TEYA/BODEGA AURRERA CHETUMAL,T472,0.496407438917075
